#integer	index1	index2																				
state	posterior	prior	likelihood	meanRate	treeModel.rootHeight	yule.birthRate	ac	ag	at	cg	gt	alpha	ucld.mean	ucld.stdev	invgauss.mean	invgauss.stdev	uced.mean	index1	index2	coefficientOfVariation	covariance	treeLikelihood
0	-18107.89569	-3.103274957	-18104.79241	0.995012481	1.042483236	1	1	1	1	1	1	0.5	1	0.1	1	0.1	1	0	0	1.14E-16	0	-18104.79241
5000	-11757.363	9.058732767	-11766.42173	0.437609807	0.259702741	7.946768684	0.871757062	1.494334513	1	1	0.86359047	0.759619909	1	7.009709564	1	0.990338833	1	2	2	0.979716074	0.312268091	-11766.42173
10000	-11682.44755	6.439319035	-11688.88687	0.459478425	0.232491836	12.20413381	0.692399287	1.972248035	1	0.896848811	0.660939586	0.74068936	1	5.578327975	1	7.241430364	1	2	2	1.054847336	-0.165447669	-11688.88687
15000	-11652.15645	9.351116605	-11661.50757	0.498038416	0.237502527	3.998248362	0.692399287	1.972248035	1	0.53059928	0.632476452	0.84914211	1	5.639442648	1	4.127099467	1	2	1	0.752375913	-0.100531883	-11661.50757
20000	-11619.083	10.39964537	-11629.48264	0.521744368	0.214912318	4.270985518	0.541128984	2.101267917	0.923590078	0.454491366	0.579106816	0.84914211	1	4.275011157	1	3.572998314	1	2	1	0.788107751	0.126306036	-11629.48264
25000	-11611.87092	10.35773659	-11622.22866	0.538267665	0.249776434	4.667631048	0.541128984	2.663991984	0.923590078	0.454491366	0.579106816	0.84914211	1	2.790356465	1	9.006475125	1	2	1	0.858711594	-0.15192669	-11622.22866
30000	-11558.1956	9.309928805	-11567.50553	0.406487536	0.381572173	4.635441769	0.535426497	2.351662896	0.71024515	0.454491366	0.400963842	0.868945191	1	2.423867028	1	4.915482306	1	2	1	0.97570467	0.010894322	-11567.50553
35000	-11546.21242	9.295081941	-11555.5075	0.421662198	0.388810309	5.595666682	0.517222866	2.222474694	0.619053642	0.454491366	0.400963842	0.683175497	1	3.436659859	1	3.307441071	1	2	1	0.772974466	-0.122836598	-11555.5075
40000	-11537.25115	10.11603223	-11547.36718	0.43221859	0.332279565	6.269641299	0.490893079	2.258952513	0.612902204	0.454491366	0.400963842	0.759791567	1	0.974354492	1	8.609855527	1	2	1	0.864159153	0.185784318	-11547.36718
45000	-11542.03752	8.831060914	-11550.86858	0.41068232	0.317474311	8.788307862	0.395894382	1.890110553	0.612902204	0.454491366	0.400963842	0.759791567	1	2.169735682	1	4.720480414	1	2	1	0.841523877	-0.407735195	-11550.86858
50000	-11523.27516	10.2427829	-11533.51794	0.406585615	0.323536422	5.067725853	0.426674942	1.956678338	0.539160716	0.454491366	0.397303368	0.780869646	1	8.274342633	1	4.931613773	1	2	1	0.918163441	-0.272283576	-11533.51794
55000	-11501.97502	9.300953314	-11511.27598	0.399967938	0.320348123	6.136547902	0.426674942	2.248856747	0.40895188	0.454491366	0.377650238	0.780869646	1	1.066912091	1	3.687537851	1	2	1	0.794051449	-0.203210499	-11511.27598
60000	-11502.21408	10.79458668	-11513.00867	0.407186057	0.298231901	6.712291011	0.392300011	2.248856747	0.40895188	0.404825386	0.377650238	0.780869646	1	7.726798541	1	7.22022263	1	2	1	0.877126322	-0.152639727	-11513.00867
65000	-11494.31082	10.98363806	-11505.29445	0.430729042	0.282386559	5.511722789	0.390232138	2.248856747	0.390628113	0.46996657	0.377650238	0.780869646	1	2.945441269	1	2.711451134	1	2	2	0.970232434	-0.273741231	-11505.29445
70000	-11486.74839	11.38360016	-11498.132	0.446964674	0.274539761	6.416433215	0.441354219	1.802373766	0.34279235	0.46996657	0.324656913	0.760284393	1	1.367843143	1	8.942118488	1	2	2	1.087427803	-0.20951093	-11498.132
75000	-11487.09646	11.80566971	-11498.90213	0.447824824	0.255976676	4.804805834	0.444539881	1.579948921	0.340636439	0.400802042	0.309471423	0.760284393	1	3.484112987	1	6.416204551	1	2	2	1.073600746	-0.160459922	-11498.90213
80000	-11480.80677	11.64933177	-11492.4561	0.449035771	0.274649021	5.141355834	0.444539881	1.98548426	0.3038253	0.426396731	0.309471423	0.760284393	1	0.449631933	1	2.196339214	1	2	2	1.013446637	-0.217118097	-11492.4561
85000	-11477.41882	11.26151112	-11488.68033	0.44149668	0.276483855	7.472642567	0.444539881	1.98548426	0.3038253	0.396916874	0.309471423	0.760284393	1	5.320413674	1	9.006582111	1	2	2	1.08296115	-0.285248623	-11488.68033
90000	-11478.05175	10.6447195	-11488.69647	0.406967841	0.282046279	4.921459901	0.444539881	1.98548426	0.3038253	0.461785655	0.368335839	0.822649747	1	4.547037198	1	4.392465567	1	2	2	1.097219878	-0.350582349	-11488.69647
95000	-11475.14384	11.55432694	-11486.69816	0.434314386	0.291645335	5.960567853	0.352991105	1.98548426	0.3038253	0.461785655	0.344082339	0.822649747	1	9.135222357	1	2.002812074	1	2	2	1.159186899	0.145832158	-11486.69816
100000	-11467.30154	11.39984331	-11478.70138	0.444933054	0.310825156	6.623474181	0.4651861	1.98548426	0.299911715	0.469315003	0.262578689	0.822649747	1	0.474114755	1	0.623263931	1	2	2	0.884727083	-0.211149681	-11478.70138
105000	-11473.38894	11.43565359	-11484.8246	0.427004572	0.253480311	7.568624323	0.4651861	1.783990797	0.299911715	0.469315003	0.285447232	0.715305137	1	7.245296891	1	0.620871639	1	2	2	0.927788975	-0.106611174	-11484.8246
110000	-11471.19032	11.94570717	-11483.13603	0.44296568	0.271572263	6.149679072	0.4651861	1.817422838	0.299911715	0.469315003	0.285447232	0.715305137	1	7.387662927	1	2.478635861	1	2	2	0.959602666	-0.155794984	-11483.13603
115000	-11466.33253	11.16115641	-11477.49368	0.434018088	0.280969761	7.432530451	0.319082074	1.656636815	0.264562375	0.469315003	0.320160986	0.720504425	1	5.612923133	1	5.912647024	1	2	2	0.998917406	-0.15936413	-11477.49368
120000	-11462.57909	9.409302146	-11471.9884	0.419783678	0.258446774	10.33835201	0.334390761	1.656636815	0.224384972	0.363146696	0.238522885	0.938730966	1	2.460761755	1	8.260902678	1	2	2	0.8998474	0.017208748	-11471.9884
125000	-11461.06642	12.30684678	-11473.37327	0.412309303	0.276475015	5.221352092	0.299997158	1.589468058	0.224384972	0.363146696	0.238522885	0.938730966	1	6.205917784	1	5.454889584	1	2	2	1.083055959	-0.121566317	-11473.37327
130000	-11458.89608	11.83156008	-11470.72764	0.403431715	0.274638233	5.11339786	0.396444988	1.668754819	0.224384972	0.401885026	0.252583376	0.722761054	1	6.069694852	1	3.145312903	1	2	2	0.870294298	-0.004550249	-11470.72764
135000	-11458.58236	11.39313412	-11469.9755	0.408647007	0.322749435	5.823414064	0.3191373	1.668754819	0.195029093	0.397077635	0.267891185	0.642789637	1	1.593404805	1	3.004562203	1	2	2	1.088013904	-0.112021278	-11469.9755
140000	-11455.5301	11.49732681	-11467.02743	0.408850293	0.30437441	7.415859023	0.3191373	1.505387173	0.167936646	0.463094487	0.267891185	0.898605295	1	9.623364564	1	4.588120655	1	2	2	0.959920973	-0.154748575	-11467.02743
145000	-11454.68412	10.7914071	-11465.47553	0.389661106	0.348599691	3.921697815	0.3191373	1.505387173	0.194786548	0.463094487	0.267891185	0.838639168	1	0.763169275	1	1.653048565	1	2	2	1.057844363	0.02390657	-11465.47553
150000	-11454.12248	9.860024499	-11463.9825	0.377214962	0.372105935	8.153718769	0.320165355	1.505387173	0.194786548	0.463094487	0.267891185	0.838639168	1	5.708932095	1	9.541673676	1	2	2	0.994773666	-0.108352931	-11463.9825
155000	-11454.66573	11.88213313	-11466.54786	0.413551648	0.347746651	5.31924717	0.350930069	1.505387173	0.157753233	0.463094487	0.267891185	0.838639168	1	9.889439327	1	9.049237348	1	2	2	0.83294935	0.111950098	-11466.54786
